id,nombre,genero,espectadores
2,The Fokers,Comedy,4138541
3,Pocahontas II ,Animation,3072530
4,Love me,Romance,2320106
5,Glue,Romance,1434171
6,Life Without Dick,Comedy,4371461
7,Swoon,Romance,418329
8,The miss,Romance,364991
9,Big City,Romance,3015919
10,Cotton,Crime,4551274
12,RocketMan,Comedy,1284277
13,Pinocchio,Animation,903454
14,Titanic,Romance,3655798
15,Pushover,Crime,530510
17,Fly,Romance,3683853
18,Jeanne and the PerfeComedy,Comedy,1677070
19,Frozen,Romance,1997597
20,More,Crime,1435401
23,Young Ones,Romance,4214744
24,Hope Springs,Comedy,1580864
